# Time, Kinetic Energy, Potential Energy, Total Energy, Temperature
     0,     0.000971,     0.001921,     0.002892,      0.00032
   100,     0.008437,    -0.005546,     0.002891,      0.00281
   200,     0.005092,    -0.002201,     0.002891,      0.00170
   300,     0.003965,    -0.001074,     0.002891,      0.00132
   400,     0.003489,    -0.000598,     0.002891,      0.00116
   500,     0.003251,    -0.000360,     0.002891,      0.00108
   600,     0.003120,    -0.000229,     0.002891,      0.00104
   700,     0.003043,    -0.000152,     0.002891,      0.00101
   800,     0.002994,    -0.000104,     0.002891,      0.00100
   900,     0.002963,    -0.000073,     0.002891,      0.00099
  1000,     0.002943,    -0.000052,     0.002891,      0.00098
  1100,     0.002929,    -0.000038,     0.002891,      0.00098
  1200,     0.004659,    -0.005249,    -0.000590,      0.00155
  1300,     0.004347,    -0.004938,    -0.000590,      0.00145
  1400,     0.006786,    -0.007376,    -0.000590,      0.00226
  1500,     0.003226,    -0.003816,    -0.000590,      0.00108
  1600,     0.001791,    -0.002381,    -0.000590,      0.00060
  1700,     0.001227,    -0.001817,    -0.000590,      0.00041
  1800,     0.001013,    -0.001603,    -0.000590,      0.00034
  1900,     0.001008,    -0.001598,    -0.000590,      0.00034
  2000,     0.001208,    -0.001798,    -0.000590,      0.00040
  2100,     0.001744,    -0.002334,    -0.000590,      0.00058
  2200,     0.003100,    -0.003690,    -0.000590,      0.00103
  2300,     0.006582,    -0.007172,    -0.000590,      0.00219
  2400,     0.003343,    -0.003933,    -0.000590,      0.00111
  2500,     0.004877,    -0.005467,    -0.000590,      0.00163
  2600,     0.002391,    -0.002981,    -0.000590,      0.00080
  2700,     0.001470,    -0.002060,    -0.000590,      0.00049
  2800,     0.001098,    -0.001688,    -0.000590,      0.00037
  2900,     0.000988,    -0.001578,    -0.000590,      0.00033
  3000,     0.001071,    -0.001661,    -0.000590,      0.00036
  3100,     0.001397,    -0.001987,    -0.000590,      0.00047
  3200,     0.002209,    -0.002799,    -0.000590,      0.00074
  3300,     0.004372,    -0.004962,    -0.000590,      0.00146
  3400,     0.005564,    -0.006155,    -0.000591,      0.00185
  3500,     0.006996,    -0.007586,    -0.000590,      0.00233
  3600,     0.003416,    -0.004006,    -0.000590,      0.00114
  3700,     0.001862,    -0.002452,    -0.000590,      0.00062
  3800,     0.001256,    -0.001846,    -0.000590,      0.00042
  3900,     0.001022,    -0.001612,    -0.000590,      0.00034
  4000,     0.001002,    -0.001592,    -0.000590,      0.00033
  4100,     0.001183,    -0.001772,    -0.000590,      0.00039
  4200,     0.001682,    -0.002272,    -0.000590,      0.00056
  4300,     0.002935,    -0.003525,    -0.000590,      0.00098
  4400,     0.006255,    -0.006845,    -0.000590,      0.00209
  4500,     0.002010,    -0.002600,    -0.000590,      0.00067
  4600,     0.005199,    -0.005789,    -0.000590,      0.00173
  4700,     0.002509,    -0.003099,    -0.000590,      0.00084
  4800,     0.001516,    -0.002106,    -0.000590,      0.00051
  4900,     0.001219,    -0.000012,     0.001206,      0.00041
