# distance, Potential Energy
  2.1997,     0.001921
  2.8222,    -0.005546
  3.3980,    -0.002201
  3.8577,    -0.001074
  4.2657,    -0.000598
  4.6477,    -0.000360
  5.0152,    -0.000229
  5.3743,    -0.000152
  5.7282,    -0.000104
  6.0788,    -0.000073
  6.4272,    -0.000052
  6.7741,    -0.000038
  2.8592,    -0.005249
  2.3060,    -0.004938
  2.5828,    -0.007376
  3.0610,    -0.003816
  3.3495,    -0.002381
  3.5176,    -0.001817
  3.5967,    -0.001603
  3.5989,    -0.001598
  3.5243,    -0.001798
  3.3619,    -0.002334
  3.0816,    -0.003690
  2.6162,    -0.007172
  2.2825,    -0.003933
  2.8320,    -0.005467
  3.2120,    -0.002981
  3.4393,    -0.002060
  3.5640,    -0.001688
  3.6070,    -0.001578
  3.5744,    -0.001661
  3.4617,    -0.001987
  3.2505,    -0.002799
  2.8961,    -0.004962
  2.3451,    -0.006155
  2.5350,    -0.007586
  3.0310,    -0.004006
  3.3316,    -0.002452
  3.5077,    -0.001846
  3.5933,    -0.001612
  3.6015,    -0.001592
  3.5332,    -0.001772
  3.3786,    -0.002272
  3.1096,    -0.003525
  2.6620,    -0.006845
  2.2576,    -0.002600
  2.7925,    -0.005789
  3.1883,    -0.003099
  3.4253,    -0.002106
  8.1679,    -0.000012
